ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1234567890,05/04/2025,05/05/2025 07:40:29, 00:00, 00:15,0.147,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 00:15, 00:30,0.115,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 00:30, 00:45,0.129,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 00:45, 01:00,0.135,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 01:00, 01:15,0.132,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 01:15, 01:30,0.147,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 01:30, 01:45,0.107,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 01:45, 02:00,0.125,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 02:00, 02:15,0.12,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 02:15, 02:30,0.124,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 02:30, 02:45,0.106,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 02:45, 03:00,0.107,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 03:00, 03:15,0.114,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 03:15, 03:30,0.115,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 03:30, 03:45,0.121,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 03:45, 04:00,0.131,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 04:00, 04:15,0.132,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 04:15, 04:30,0.121,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 04:30, 04:45,0.12,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 04:45, 05:00,0.111,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 05:00, 05:15,0.129,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 05:15, 05:30,0.116,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 05:30, 05:45,0.102,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 05:45, 06:00,0.121,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 06:00, 06:15,0.124,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 06:15, 06:30,0.111,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 06:30, 06:45,0.517,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 06:45, 07:00,0.825,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 07:00, 07:15,0.399,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 07:15, 07:30,0.132,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 07:30, 07:45,0.133,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 07:45, 08:00,0.116,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 08:00, 08:15,0.139,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 08:15, 08:30,0.127,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 08:30, 08:45,0.122,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 08:45, 09:00,0.131,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 09:00, 09:15,0.497,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 09:15, 09:30,0.512,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 09:30, 09:45,0.547,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 09:45, 10:00,0.556,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 10:00, 10:15,0.505,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 10:15, 10:30,0.518,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 10:30, 10:45,0.52,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 10:45, 11:00,0.503,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 11:00, 11:15,0.182,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 11:15, 11:30,1.145,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 11:30, 11:45,1.149,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 11:45, 12:00,1.217,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 12:00, 12:15,1.138,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 12:15, 12:30,1.212,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 12:30, 12:45,1.097,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 12:45, 13:00,1.193,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 13:00, 13:15,0.202,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 13:15, 13:30,0.194,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 13:30, 13:45,1.252,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 13:45, 14:00,1.253,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 14:00, 14:15,1.264,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 14:15, 14:30,1.169,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 14:30, 14:45,1.22,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 14:45, 15:00,1.08,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 15:00, 15:15,1.113,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 15:15, 15:30,0.888,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 15:30, 15:45,0.852,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 15:45, 16:00,0.845,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 16:00, 16:15,0.826,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 16:15, 16:30,0.828,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 16:30, 16:45,0.757,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 16:45, 17:00,0.716,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 17:00, 17:15,0.772,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 17:15, 17:30,0.797,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 17:30, 17:45,0.218,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 17:45, 18:00,0.23,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 18:00, 18:15,0.101,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 18:15, 18:30,0.817,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 18:30, 18:45,0.867,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 18:45, 19:00,0.866,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 19:00, 19:15,0.852,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 19:15, 19:30,0.142,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 19:30, 19:45,0.149,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 19:45, 20:00,0.128,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 20:00, 20:15,0.142,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 20:15, 20:30,0.15,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 20:30, 20:45,0.107,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 20:45, 21:00,0.122,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 21:00, 21:15,0.12,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 21:15, 21:30,0.104,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 21:30, 21:45,0.138,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 21:45, 22:00,0.122,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 22:00, 22:15,0.123,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 22:15, 22:30,0.108,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 22:30, 22:45,0.109,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 22:45, 23:00,0.145,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 23:00, 23:15,0.102,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 23:15, 23:30,0.112,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 23:30, 23:45,0.115,A,Consumption
'1234567890,05/04/2025,05/05/2025 07:40:29, 23:45, 24:00,0.125,A,Consumption
