ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1234567890,06/20/2025,06/21/2025 07:40:29, 00:00, 00:15,0.24,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 00:15, 00:30,0.225,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 00:30, 00:45,0.222,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 00:45, 01:00,0.203,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 01:00, 01:15,0.187,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 01:15, 01:30,0.143,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 01:30, 01:45,0.129,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 01:45, 02:00,0.121,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 02:00, 02:15,0.226,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 02:15, 02:30,0.201,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 02:30, 02:45,0.225,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 02:45, 03:00,0.202,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 03:00, 03:15,0.223,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 03:15, 03:30,0.191,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 03:30, 03:45,0.107,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 03:45, 04:00,0.135,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 04:00, 04:15,0.108,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 04:15, 04:30,0.202,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 04:30, 04:45,0.187,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 04:45, 05:00,0.166,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 05:00, 05:15,0.165,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 05:15, 05:30,0.201,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 05:30, 05:45,0.185,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 05:45, 06:00,0.145,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 06:00, 06:15,0.106,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 06:15, 06:30,0.146,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 06:30, 06:45,0.192,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 06:45, 07:00,0.199,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 07:00, 07:15,0.782,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 07:15, 07:30,0.996,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 07:30, 07:45,0.8,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 07:45, 08:00,0.15,A,Consumption
'1234567890,06/20/2025,06/21/2025 07:40:29, 08:00, 08:15,0.504,A,Consumption
