ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1234567890,06/23/2025,06/24/2025 07:40:29, 00:00, 00:15,0.193,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 00:15, 00:30,0.202,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 00:30, 00:45,0.187,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 00:45, 01:00,0.206,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 01:00, 01:15,0.208,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 01:15, 01:30,0.107,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 01:30, 01:45,0.112,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 01:45, 02:00,0.113,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 02:00, 02:15,0.108,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 02:15, 02:30,0.177,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 02:30, 02:45,0.168,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 02:45, 03:00,0.188,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 03:00, 03:15,0.153,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 03:15, 03:30,0.162,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 03:30, 03:45,0.133,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 03:45, 04:00,0.12,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 04:00, 04:15,0.121,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 04:15, 04:30,0.14,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 04:30, 04:45,0.199,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 04:45, 05:00,0.178,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 05:00, 05:15,0.154,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 05:15, 05:30,0.155,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 05:30, 05:45,0.199,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 05:45, 06:00,0.134,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 06:00, 06:15,0.138,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 06:15, 06:30,0.134,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 06:30, 06:45,0.109,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 06:45, 07:00,0.179,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 07:00, 07:15,0.809,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 07:15, 07:30,1.041,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 07:30, 07:45,0.35,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 07:45, 08:00,0.368,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 08:00, 08:15,0.108,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 08:15, 08:30,0.148,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 08:30, 08:45,0.113,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 08:45, 09:00,0.459,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 09:00, 09:15,0.521,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 09:15, 09:30,0.54,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 09:30, 09:45,0.542,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 09:45, 10:00,0.526,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 10:00, 10:15,0.141,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 10:15, 10:30,0.144,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 10:30, 10:45,0.143,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 10:45, 11:00,0.514,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 11:00, 11:15,0.611,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 11:15, 11:30,0.602,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 11:30, 11:45,0.603,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 11:45, 12:00,0.936,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 12:00, 12:15,1.034,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 12:15, 12:30,0.446,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 12:30, 12:45,0.879,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 12:45, 13:00,0.883,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 13:00, 13:15,1.19,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 13:15, 13:30,0.793,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 13:30, 13:45,0.797,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 13:45, 14:00,1.41,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 14:00, 14:15,1.438,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 14:15, 14:30,1.44,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 14:30, 14:45,1.506,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 14:45, 15:00,1.474,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 15:00, 15:15,0.71,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 15:15, 15:30,0.766,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 15:30, 15:45,1.074,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 15:45, 16:00,1.046,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 16:00, 16:15,1.071,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 16:15, 16:30,1.084,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 16:30, 16:45,0.996,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 16:45, 17:00,1.08,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 17:00, 17:15,1.07,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 17:15, 17:30,0.679,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 17:30, 17:45,0.801,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 17:45, 18:00,0.712,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 18:00, 18:15,1.522,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 18:15, 18:30,1.896,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 18:30, 18:45,1.94,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 18:45, 19:00,1.243,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 19:00, 19:15,1.189,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 19:15, 19:30,1.163,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 19:30, 19:45,0.591,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 19:45, 20:00,0.109,A,Consumption
'1234567890,06/23/2025,06/24/2025 07:40:29, 20:00, 20:15,0.148,A,Consumption
