ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'1234567890,06/28/2025,06/29/2025 07:40:29, 00:00, 00:15,0.229,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 00:15, 00:30,0.203,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 00:30, 00:45,0.213,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 00:45, 01:00,0.225,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 01:00, 01:15,0.185,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 01:15, 01:30,0.136,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 01:30, 01:45,0.105,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 01:45, 02:00,0.146,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 02:00, 02:15,0.188,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 02:15, 02:30,0.181,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 02:30, 02:45,0.18,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 02:45, 03:00,0.165,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 03:00, 03:15,0.173,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 03:15, 03:30,0.136,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 03:30, 03:45,0.127,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 03:45, 04:00,0.126,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 04:00, 04:15,0.11,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 04:15, 04:30,0.182,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 04:30, 04:45,0.167,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 04:45, 05:00,0.157,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 05:00, 05:15,0.187,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 05:15, 05:30,0.165,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 05:30, 05:45,0.126,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 05:45, 06:00,0.149,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 06:00, 06:15,0.118,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 06:15, 06:30,0.147,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 06:30, 06:45,0.69,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 06:45, 07:00,0.902,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 07:00, 07:15,0.921,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 07:15, 07:30,0.849,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 07:30, 07:45,0.437,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 07:45, 08:00,0.101,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 08:00, 08:15,0.104,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 08:15, 08:30,0.13,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 08:30, 08:45,0.136,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 08:45, 09:00,0.425,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 09:00, 09:15,0.904,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 09:15, 09:30,0.852,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 09:30, 09:45,0.896,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 09:45, 10:00,0.917,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 10:00, 10:15,0.509,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 10:15, 10:30,0.477,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 10:30, 10:45,0.118,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 10:45, 11:00,0.568,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 11:00, 11:15,1.245,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 11:15, 11:30,1.276,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 11:30, 11:45,1.215,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 11:45, 12:00,1.179,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 12:00, 12:15,1.681,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 12:15, 12:30,1.156,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 12:30, 12:45,0.101,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 12:45, 13:00,0.526,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 13:00, 13:15,1.081,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 13:15, 13:30,1.088,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 13:30, 13:45,1.068,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 13:45, 14:00,1.037,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 14:00, 14:15,1.036,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 14:15, 14:30,0.664,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 14:30, 14:45,1.299,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 14:45, 15:00,0.746,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 15:00, 15:15,0.69,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 15:15, 15:30,1.391,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 15:30, 15:45,1.734,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 15:45, 16:00,1.764,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 16:00, 16:15,1.764,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 16:15, 16:30,1.095,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 16:30, 16:45,1.085,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 16:45, 17:00,1.091,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 17:00, 17:15,1.074,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 17:15, 17:30,0.143,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 17:30, 17:45,0.141,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 17:45, 18:00,0.706,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 18:00, 18:15,1.87,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 18:15, 18:30,1.869,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 18:30, 18:45,1.842,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 18:45, 19:00,1.833,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 19:00, 19:15,1.752,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 19:15, 19:30,1.781,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 19:30, 19:45,1.251,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 19:45, 20:00,0.104,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 20:00, 20:15,0.137,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 20:15, 20:30,0.148,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 20:30, 20:45,0.516,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 20:45, 21:00,0.513,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 21:00, 21:15,0.483,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 21:15, 21:30,0.453,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 21:30, 21:45,0.488,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 21:45, 22:00,0.486,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 22:00, 22:15,0.127,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 22:15, 22:30,0.12,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 22:30, 22:45,0.105,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 22:45, 23:00,0.412,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 23:00, 23:15,0.228,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 23:15, 23:30,0.213,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 23:30, 23:45,0.213,A,Consumption
'1234567890,06/28/2025,06/29/2025 07:40:29, 23:45, 24:00,0.221,A,Consumption
